Sample	Enrichment	Drug	Cell_line	Batch	Replicate	Pool	Sample_name	Model_group
Reporter_intensity_corrected_4_TMT1	Lysate	DMSO	Cell1	0	1		Cell1_DMSO_1	Cell1_DMSO
Reporter_intensity_corrected_5_TMT1	Lysate	DMSO	Cell1	0	2		Cell1_DMSO_2	Cell1_DMSO
Reporter_intensity_corrected_6_TMT1	Lysate	DMSO	Cell1	0	3		Cell1_DMSO_3	Cell1_DMSO
Reporter_intensity_corrected_1_TMT1	Lysate	inhibitor1	Cell1	0	1		Cell1_inhibitor1_1	Cell1_inhibitor1
Reporter_intensity_corrected_2_TMT1	Lysate	inhibitor1	Cell1	0	2		Cell1_inhibitor1_2	Cell1_inhibitor1
Reporter_intensity_corrected_3_TMT1	Lysate	inhibitor1	Cell1	0	3		Cell1_inhibitor1_3	Cell1_inhibitor1
Reporter_intensity_corrected_7_TMT1	Lysate	inhibitor2	Cell1	0	1		Cell1_inhibitor2_1	Cell1_inhibitor2
Reporter_intensity_corrected_8_TMT1	Lysate	inhibitor2	Cell1	0	2		Cell1_inhibitor2_2	Cell1_inhibitor2
Reporter_intensity_corrected_9_TMT1	Lysate	inhibitor2	Cell1	0	3		Cell1_inhibitor2_3	Cell1_inhibitor2
Reporter_intensity_corrected_10_TMT1	Lysate			0		POOL		
Reporter_intensity_corrected_4_TMT2	Lysate	DMSO	Cell2	1	1		Cell2_DMSO_1	Cell2_DMSO
Reporter_intensity_corrected_5_TMT2	Lysate	DMSO	Cell2	1	2		Cell2_DMSO_2	Cell2_DMSO
Reporter_intensity_corrected_6_TMT2	Lysate	DMSO	Cell2	1	3		Cell2_DMSO_3	Cell2_DMSO
Reporter_intensity_corrected_1_TMT2	Lysate	inhibitor1	Cell2	1	1		Cell2_inhibitor1_1	Cell2_inhibitor1
Reporter_intensity_corrected_8_TMT2	Lysate	inhibitor1	Cell2	1	2		Cell2_inhibitor1_2	Cell2_inhibitor1
Reporter_intensity_corrected_3_TMT2	Lysate	inhibitor1	Cell2	1	3		Cell2_inhibitor1_3	Cell2_inhibitor1
Reporter_intensity_corrected_7_TMT2	Lysate	inhibitor2	Cell2	1	1		Cell2_inhibitor2_1	Cell2_inhibitor2
Reporter_intensity_corrected_2_TMT2	Lysate	inhibitor2	Cell2	1	2		Cell2_inhibitor2_2	Cell2_inhibitor2
Reporter_intensity_corrected_9_TMT2	Lysate	inhibitor2	Cell2	1	3		Cell2_inhibitor2_3	Cell2_inhibitor2
Reporter_intensity_corrected_10_TMT2	Lysate			1		POOL		
Reporter_intensity_corrected_4_TMT1phos	Phos	DMSO	Cell1	0	1		Cell1_DMSO_1	Cell1_DMSO
Reporter_intensity_corrected_5_TMT1phos	Phos	DMSO	Cell1	0	2		Cell1_DMSO_2	Cell1_DMSO
Reporter_intensity_corrected_6_TMT1phos	Phos	DMSO	Cell1	0	3		Cell1_DMSO_3	Cell1_DMSO
Reporter_intensity_corrected_1_TMT1phos	Phos	inhibitor1	Cell1	0	1		Cell1_inhibitor1_1	Cell1_inhibitor1
Reporter_intensity_corrected_2_TMT1phos	Phos	inhibitor1	Cell1	0	2		Cell1_inhibitor1_2	Cell1_inhibitor1
Reporter_intensity_corrected_3_TMT1phos	Phos	inhibitor1	Cell1	0	3		Cell1_inhibitor1_3	Cell1_inhibitor1
Reporter_intensity_corrected_7_TMT1phos	Phos	inhibitor2	Cell1	0	1		Cell1_inhibitor2_1	Cell1_inhibitor2
Reporter_intensity_corrected_8_TMT1phos	Phos	inhibitor2	Cell1	0	2		Cell1_inhibitor2_2	Cell1_inhibitor2
Reporter_intensity_corrected_9_TMT1phos	Phos	inhibitor2	Cell1	0	3		Cell1_inhibitor2_3	Cell1_inhibitor2
Reporter_intensity_corrected_10_TMT1phos	Phos			0		POOL		
Reporter_intensity_corrected_4_TMT2phos	Phos	DMSO	Cell2	1	1		Cell2_DMSO_1	Cell2_DMSO
Reporter_intensity_corrected_5_TMT2phos	Phos	DMSO	Cell2	1	2		Cell2_DMSO_2	Cell2_DMSO
Reporter_intensity_corrected_6_TMT2phos	Phos	DMSO	Cell2	1	3		Cell2_DMSO_3	Cell2_DMSO
Reporter_intensity_corrected_1_TMT2phos	Phos	inhibitor1	Cell2	1	1		Cell2_inhibitor1_1	Cell2_inhibitor1
Reporter_intensity_corrected_8_TMT2phos	Phos	inhibitor1	Cell2	1	2		Cell2_inhibitor1_2	Cell2_inhibitor1
Reporter_intensity_corrected_3_TMT2phos	Phos	inhibitor1	Cell2	1	3		Cell2_inhibitor1_3	Cell2_inhibitor1
Reporter_intensity_corrected_7_TMT2phos	Phos	inhibitor2	Cell2	1	1		Cell2_inhibitor2_1	Cell2_inhibitor2
Reporter_intensity_corrected_2_TMT2phos	Phos	inhibitor2	Cell2	1	2		Cell2_inhibitor2_2	Cell2_inhibitor2
Reporter_intensity_corrected_9_TMT2phos	Phos	inhibitor2	Cell2	1	3		Cell2_inhibitor2_3	Cell2_inhibitor2
Reporter_intensity_corrected_10_TMT2phos	Phos			1		POOL		
