Pathway	test.results.p.value	test.results.p.adj	test.results.vote.rank	test.results.avg.rank	test.results.med.rank	test.results.min.pvalue	test.results.min.rank	test.results.avg.logfc	test.results.avg.logfc.dir	test.results.direction	test.results.significance	Big_pathway
GO_ORGANELLE_INNER_MEMBRANE	1.317976304995697e-28	1.5843393162353272e-24	60	3640.8	3950	6.589881524978413e-30	1	0.6366396067883323	-0.12000902547332112	-0.2	27.748924207052806	gmtcustom
GO_MITOCHONDRIAL_ENVELOPE	7.402493464011532e-24	4.4492686965441314e-20	230	3421.5	3928.5	3.7012467320057614e-25	2	0.6416373317804591	-0.13269907622972393	-0.2	22.116315895200252	gmtcustom
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	9.790324051886127e-23	3.922982847590771e-19	5	4372.15	3071	4.895162025943068e-24	1	0.9229544194591468	0.27044870573903756	0.2	41.2863196763013	gmtcustom
GNF2_CDC20	1.2672505010271385e-19	3.808404568211808e-16	2600	4495.4	6098.5	6.336252505135684e-21	2	0.959097067261316	0.30793089090902487	0.2	32.82858972543616	gmtcustom
GNF2_CCNA2	1.7356367669358661e-19	4.172817915067209e-16	5	5083	7416.5	8.678183834679321e-21	3	0.8050639683811689	-0.03000043065905982	-0.2	31.29799452224782	gmtcustom
GO_MITOCHONDRIAL_MEMBRANE_PART	3.6613799027376533e-19	7.335574635134888e-16	15	3108.95	4026	1.830689951368822e-20	3	0.6555577106297551	-0.3056099338706366	-0.6	23.863900209082917	gmtcustom
KOBAYASHI_EGFR_SIGNALING_24HR_DN	5.265229578771023e-19	9.041903538058065e-16	15	4752.6	6554	2.6326147893855044e-20	2	0.8420765556074241	-0.11205070098279932	-0.2	28.869536378069302	gmtcustom
KEGG_PARKINSONS_DISEASE	6.776300957141091e-19	1.0182239225724132e-15	30	2774.55	3536.5	3.388150478570538e-20	4	0.6685502119829856	-0.2185138346328236	-0.6	22.08071770418635	gmtcustom
GO_MITOCHONDRIAL_PROTEIN_COMPLEX	1.0414066431372393e-18	1.170799367721972e-15	10	3039.9	3919	5.207033215686181e-20	5	0.6800705982197461	-0.3005969439699263	-0.6	25.393789292188814	gmtcustom
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	1.0653703032040655e-18	1.170799367721972e-15	4190	3596.75	3660	5.32685151602033e-20	3	0.8041613255047871	-0.1257705113126906	-0.2	28.726750160857378	gmtcustom
GNF2_HMMR	1.0713578774595867e-18	1.170799367721972e-15	2650	4841.45	6608	5.3567893872979506e-20	4	0.8594716636382125	-0.025818700051755007	-0.2	31.25013243685637	gmtcustom
GO_MITOCHONDRIAL_PART	1.6236157679573413e-18	1.6264570955512666e-15	690	3628.45	5064	8.118078839786687e-20	6	0.6314791251600177	-0.13440030776382653	-0.2	18.972519680127863	gmtcustom
GNF2_MCM4	2.4363247353927232e-18	2.2528507418581482e-15	5	5311.85	7525.5	1.2181623676963595e-19	2	0.7197104552169294	0.027947130984699732	-0.2	30.80667268426007	gmtcustom
GO_MITOCHONDRIAL_TRANSLATION	3.425178501776312e-18	2.941005054989503e-15	10540	5576.2	5706	1.7125892508881582e-19	2	0.48617441628952923	-0.05436562291061736	-0.2	14.031218234917663	gmtcustom
GNF2_BUB1B	3.808873799007594e-18	3.0524314625246857e-15	7805	5278.5	6775	1.9044368995038002e-19	3	0.8586829256291351	0.2653421311336484	0.2	30.55865872283792	gmtcustom
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	5.286039262491562e-18	3.947824669758886e-15	10	3091.35	4216.5	2.6430196312457835e-19	7	0.6512850783862676	-0.30360929973444456	-0.6	24.66434847898284	gmtcustom
GNF2_CCNB2	5.582981398045175e-18	3.947824669758886e-15	10	4196.25	4998	2.7914906990225984e-19	7	0.901119886663338	-0.029975516087903963	-0.2	30.469634902219106	gmtcustom
