Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
Kendrick_032219_TMT1_SF01	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3564	15699	15699	17010	14388	0	2622	3921	3813	0	108	23.05	26.5	NaN	4.12	3371	375870	14210	3.78	881	6.2	62374	12839	12661	20.58	23.57	1209	9.42	+	0.4668	0.59391	154380	163210
Kendrick_032219_TMT1_SF02	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3574	15508	15508	16606	14410	0	2196	4211	4109	0	102	25.36	28.51	NaN	4.64	3574	397984	14152	3.56	806	5.7	65817	12908	12760	19.61	22.34	1110	8.6	+	0.45243	0.59894	156020	164710
Kendrick_032219_TMT1_SF03	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3258	15974	15974	17472	14476	0	2996	4195	4092	0	103	24.01	28.27	NaN	3.44	3575	388674	14350	3.69	921	6.42	65338	12875	12705	19.71	22.55	1137	8.83	+	0.48092	0.61826	157970	166840
Kendrick_032219_TMT1_SF04	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3467	15809	15809	17032	14586	0	2446	4322	4202	0	120	25.38	28.81	NaN	4.91	3689	416993	14405	3.45	837	5.81	69747	13152	12993	18.86	21.4	1058	8.04	+	0.45158	0.60168	153950	163260
Kendrick_032219_TMT1_SF05	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3453	15740	15740	17036	14444	0	2592	4430	4298	0	132	26	29.76	NaN	5.09	3752	403340	14388	3.57	817	5.68	66811	13012	12828	19.48	21.95	1106	8.5	+	0.46213	0.60615	154770	163860
Kendrick_032219_TMT1_SF06	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3514	15612	15612	17065	14159	0	2906	4160	4021	0	139	24.38	28.4	NaN	4.78	3588	389292	14142	3.63	794	5.61	64025	12696	12533	19.83	22.65	1068	8.41	+	0.52449	0.68617	157210	166230
Kendrick_032219_TMT1_SF07	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3470	15731	15731	16860	14602	0	2258	4190	4073	0	117	24.85	27.89	NaN	5.18	3691	426738	14513	3.4	734	5.06	71554	13267	13080	18.54	20.95	1019	7.68	+	0.43931	0.57443	152560	162030
Kendrick_032219_TMT1_SF08	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3434	15923	15923	17073	14773	0	2300	4065	3952	0	113	23.81	26.75	NaN	4.91	3461	424477	14631	3.45	739	5.05	72057	13377	13193	18.56	21.18	1017	7.6	+	0.49786	0.6459	147670	157400
Kendrick_032219_TMT1_SF09	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3569	15720	15720	17191	14249	0	2942	4130	4054	0	76	24.02	28.45	NaN	2.58	3473	407596	14297	3.51	773	5.41	67741	12854	12658	18.98	21.84	1032	8.03	+	0.55905	0.70262	150200	159760
Kendrick_032219_TMT1_SF10	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3483	15399	15399	16515	14283	0	2232	3727	3586	0	141	22.57	25.11	NaN	6.32	2955	411778	13838	3.36	914	6.61	68410	12637	12493	18.47	21.55	1157	9.16	+	0.51888	0.6631	146170	156300
Kendrick_032219_TMT1_SF11	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3483	15421	15421	16579	14263	0	2316	3704	3556	0	148	22.34	24.93	NaN	6.39	2656	396295	13342	3.37	1283	9.62	63542	11909	11721	18.74	22.1	1541	12.94	+	0.57531	0.73808	147700	158040
Kendrick_032219_TMT1_SF12	TMT1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		3485	15639	15639	16970	14308	0	2662	3795	3649	0	146	22.36	25.5	NaN	5.48	3228	402690	14209	3.53	904	6.36	65419	12714	12503	19.43	22.83	1197	9.41	+	0.44737	0.57888	148530	158220
Kendrick_032219_TMT1phos_Fe	TMT1phos	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		8573	22390	22390	23509	21271	0	2238	4461	4405	0	56	18.98	20.71	NaN	2.5	1702	770809	13239	1.72	6374	48.15	75249	10164	10058	13.51	16.69	7417	72.97	+	0.22557	0.35463	134260	143970
Kendrick_032219_TMT1phos_SF01	TMT1phos	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		8852	9829	9829	11004	8654	0	2350	894	884	0	10	8.12	10.21	NaN	0.43	635	627912	8494	1.35	725	8.54	46422	7312	7106	15.75	21.4	967	13.22	+	0.31787	0.45113	150830	159980
Kendrick_032219_TMT1phos_SF02	TMT1phos	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		9481	8506	8506	9267	7745	0	1522	758	752	0	6	8.18	9.71	NaN	0.39	559	569904	7319	1.28	686	9.37	40876	6537	6372	15.99	22.74	839	12.83	+	0.30341	0.42826	152890	162280
Kendrick_032219_TMT1phos_SF03	TMT1phos	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		10089	8102	8102	9244	6960	0	2284	616	608	0	8	6.66	8.74	NaN	0.35	428	815092	6840	0.84	709	10.37	48564	5850	5656	12.05	20.6	760	12.99	+	0.49367	0.58372	141560	152220
Kendrick_032219_TMT1phos_SF04	TMT1phos	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		8176	10182	10182	11135	9229	0	1906	1245	1231	0	14	11.18	13.34	NaN	0.73	757	558359	8869	1.59	799	9.01	48618	7901	7690	16.25	22.74	934	11.82	+	0.59769	0.70048	121960	132420
