Majority_protein_IDs	Fasta_headers	Score	id	Phospho_(STY)_site_IDs	Description	Gene_name	Uniprot_ID
CON__REFSEQ:XP_001252647;CON__A2I7N3	;	2.1952	0	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000007350	NA	111.1	1	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000013050	NA	2.0403	2	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000016046	NA	31.641	3	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000018229	NA	-2	4	0;1;2;8842	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000018574	NA	8.1732	5	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000023402	NA	4.2125	6	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000024146	NA	65.9	7	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000032840	NA	2.7768	8	NA	NA	NA	NA
CON__ENSEMBL:ENSBTAP00000034412	NA	25.421	9	NA	NA	NA	NA
CON__H-INV:HIT000292931	NA	-2	10	3;4	NA	NA	NA
CON__P00735	NA	68.163	11	NA	NA	NA	NA
CON__P00761	NA	119.48	12	5;6	NA	NA	NA
CON__P01030	NA	8.0203	13	NA	NA	NA	NA
CON__P01045-1;CON__Q2KJ62;CON__P01044-1	;;	3.5404	14	NA	NA	NA	NA
CON__P01966	NA	87.753	15	NA	NA	NA	NA
CON__P02070	NA	16.866	16	NA	NA	NA	NA
CON__P02533;sp|P02533|K1C14_HUMAN	;sp|P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4	44.091	17	NA	Keratin, type I cytoskeletal 14	KRT14	P02533
tr|B4DRR0|B4DRR0_HUMAN;tr|A8K2I0|A8K2I0_HUMAN;tr|A0A0S2Z428|A0A0S2Z428_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P02538;tr|B4DWU6|B4DWU6_HUMAN;tr|B4DRU6|B4DRU6_HUMAN	tr|B4DRR0|B4DRR0_HUMAN cDNA FLJ53910, highly similar to Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A8K2I0|A8K2I0_HUMAN cDNA FLJ78504, highly similar to Homo sapiens keratin 6A (KRT6A), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0	61.328	18	NA	cDNA FLJ53910, highly similar to Keratin, type II cytoskeletal 6A	NA	B4DRR0
CON__P02662	NA	25.202	19	7;8;9;7173	NA	NA	NA
CON__P02663	NA	8.3916	20	10;11;12;7174;7175	NA	NA	NA
CON__P02666	NA	45.907	21	13	NA	NA	NA
CON__P02672	NA	25.94	22	14;15	NA	NA	NA
tr|F6KPG5|F6KPG5_HUMAN;tr|A0A0C4DGB6|A0A0C4DGB6_HUMAN;tr|A8K9P0|A8K9P0_HUMAN;tr|B2RBS8|B2RBS8_HUMAN;sp|P02768|ALBU_HUMAN;CON__P02768-1;tr|B4DPP6|B4DPP6_HUMAN;tr|H0YA55|H0YA55_HUMAN;tr|B4DPR2|B4DPR2_HUMAN;tr|Q56G89|Q56G89_HUMAN;tr|A0A087WWT3|A0A087WWT3_HUMAN;tr|C9JKR2|C9JKR2_HUMAN;tr|D6RHD5|D6RHD5_HUMAN;tr|B7WNR0|B7WNR0_HUMAN	tr|F6KPG5|F6KPG5_HUMAN Albumin (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A0C4DGB6|A0A0C4DGB6_HUMAN Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=1;tr|A8K9P0|A8K9P0_HUMAN cDNA FLJ78413, highly similar to Homo sapiens albumin, mRNA OS=Homo sap	2.5852	23	NA	Albumin (Fragment)	ALB	F6KPG5
CON__P02769	NA	81.71	24	NA	NA	NA	NA
CON__P04259;sp|P48668|K2C6C_HUMAN;CON__P48668;tr|B2R853|B2R853_HUMAN;tr|B4DKV4|B4DKV4_HUMAN;tr|B4DRY0|B4DRY0_HUMAN	;sp|P48668|K2C6C_HUMAN Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3;;tr|B2R853|B2R853_HUMAN cDNA, FLJ93744, highly similar to Homo sapiens keratin 6E (KRT6E), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DKV4|B4DKV4_HUMAN cDNA	5.0105	25	NA	Keratin, type II cytoskeletal 6C	KRT6C	P48668
CON__P06868	NA	63.424	26	NA	NA	NA	NA
CON__P08779;sp|P08779|K1C16_HUMAN	;sp|P08779|K1C16_HUMAN Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4	115.72	27	NA	Keratin, type I cytoskeletal 16	KRT16	P08779
CON__P12763	NA	50.09	28	16	NA	NA	NA
CON__P13645;sp|P13645|K1C10_HUMAN	;sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	232.33	29	NA	Keratin, type I cytoskeletal 10	KRT10	P13645
sp|P13647|K2C5_HUMAN;CON__P13647;tr|B4E1T1|B4E1T1_HUMAN;tr|F8W0C6|F8W0C6_HUMAN;tr|B4DL32|B4DL32_HUMAN	sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3;;tr|B4E1T1|B4E1T1_HUMAN cDNA FLJ54081, highly similar to Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|F8W0C6|F8W0C6_HUMAN Keratin, type I	27.986	30	NA	Keratin, type II cytoskeletal 5	KRT5	P13647
CON__P15497	NA	52.918	31	NA	NA	NA	NA
CON__P17690	NA	2.1664	32	NA	NA	NA	NA
CON__P17697	NA	50.007	33	NA	NA	NA	NA
CON__P28800	NA	33.307	34	17	NA	NA	NA
CON__P34955	NA	58.357	35	NA	NA	NA	NA
